No;Latitude;Longitude;Altitude;Speed;Time
1;47.30033;8.742433;444.6;0;14:49:24.620
2;47.30033;8.742433;444.6;0;14:49:25.120
3;47.30033;8.742433;444.6;0;14:49:25.620
4;47.30033;8.742433;444.6;0.1;14:49:26.120
5;47.30033;8.742433;444.6;0;14:49:26.620
6;47.30033;8.742433;444.6;0.1;14:49:27.120
7;47.30033;8.742433;444.6;0.1;14:49:27.620
8;47.30033;8.742433;444.6;0;14:49:28.120
9;47.30033;8.742433;444.6;0.1;14:49:28.620
10;47.30033;8.742433;444.6;0;14:49:29.120
11;47.30033;8.742433;444.6;0;14:49:29.620
12;47.30033;8.742433;444.6;0;14:49:30.120
13;47.30033;8.742433;444.6;0;14:49:30.620
14;47.30033;8.742433;444.6;0;14:49:31.120
15;47.30033;8.742433;444.6;0;14:49:31.620
16;47.30033;8.742433;444.7;0;14:49:32.120
17;47.30033;8.742431;444.7;0.1;14:49:32.620
18;47.300332;8.742428;444.7;0.2;14:49:33.120
19;47.300339;8.742418;444.6;12.8;14:49:33.620
20;47.300353;8.742405;444.6;20.3;14:49:34.120
21;47.300371;8.74237;444.6;31.7;14:49:34.620
22;47.300392;8.742311;444.6;31.7;14:49:35.120
23;47.300414;8.742226;444.9;44.4;14:49:35.620
24;47.300447;8.742143;445.3;44.4;14:49:36.120
25;47.300482;8.742064;446;54;14:49:36.620
26;47.300521;8.741971;446.8;59.5;14:49:37.120
27;47.300556;8.741869;447.5;62.1;14:49:37.620
28;47.30059;8.741772;448.6;65.5;14:49:38.120
29;47.300618;8.741689;449.8;66.1;14:49:38.620
30;47.300634;8.741592;451.8;67.2;14:49:39.120
31;47.300658;8.741468;454.1;66.7;14:49:39.620
32;47.300699;8.741359;456.6;69;14:49:40.120
33;47.300764;8.741258;459;69.4;14:49:40.620
34;47.300818;8.741152;461.2;70.6;14:49:41.120
35;47.300863;8.740994;463.3;71.5;14:49:41.620
36;47.300907;8.740843;465.3;71.6;14:49:42.120
37;47.300976;8.740715;467.3;71.7;14:49:42.620
38;47.301046;8.740624;469;70.4;14:49:43.120
39;47.301112;8.740522;471;69.4;14:49:43.620
40;47.301169;8.740414;473.2;70.2;14:49:44.120
41;47.301244;8.740318;475.7;68.7;14:49:44.620
42;47.301337;8.740244;478;69.9;14:49:45.120
43;47.301429;8.740187;480.4;72;14:49:45.620
44;47.301509;8.740124;483.1;69.1;14:49:46.120
45;47.301579;8.740063;486.1;69.3;14:49:46.620
