Date,Time,BakV(V),EscT(°C),EscT(°C),Cels(V),GAlt(m),GSpd(kmh),Hdg(°),Gvs(m/s),Sats,5104,5105,GPS,Date,Alt(m),VFR(%),AltR(m),VSpR(m/s),GeaV(V),RSSI(dB),TRSS(dB),TQly,RxV(V),VSpd(m/s),ASpd(kmh),EscR(rpm),EscC(mAh),EscV(V),EscA(A),EscT(°C),Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-03-24,14:49:24.620,7.89,0,0,24.06,444.6,0.0,179.63,0.0,19,1146052,108,47.300330 8.742433,2026-03-24 13:44:50,12.3,100,7.6,-0.02,6.00,86,90,100,6.10,0.00,2.9,0,0,24.1,0.0,33,0,-1,1024,1,-6,-1024,-601,-964,-1024,1,1,1,1,-1,-1,-1,-1,0x0000000000040010,1539,1488,988,1512,1236,1804,1489,886,1442,1539,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-03-24,14:49:25.120,7.89,0,0,24.06,444.6,0.0,179.63,0.0,19,1148588,108,47.300330 8.742433,2026-03-24 13:44:50,12.5,100,7.6,-0.03,6.00,87,96,100,6.10,0.00,2.8,0,0,24.1,0.0,33,0,-1,1024,0,-6,-1024,-601,-964,-1024,1,1,1,1,-1,-1,-1,-1,0x0000000000840010,1539,1488,988,1512,1236,1804,1489,886,1442,1539,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-03-24,14:49:25.620,7.89,0,0,24.06,444.6,0.0,179.63,0.0,19,1148366,108,47.300330 8.742433,2026-03-24 13:44:50,12.1,100,7.6,-0.03,6.00,87,92,100,6.10,0.35,2.4,0,0,24.1,0.0,33,0,-1,1024,0,-6,-1024,-601,-1023,-1024,1,1,1,1,-1,-1,-1,-1,0x0000000000840010,1539,1488,988,1512,1236,1804,1489,886,1442,1539,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-03-24,14:49:26.120,7.89,0,0,24.06,444.6,0.1,179.63,0.0,19,1148477,108,47.300330 8.742433,2026-03-24 13:44:50,12.3,100,7.6,0.00,6.00,85,95,100,6.10,0.35,2.8,0,0,24.1,0.0,33,0,-1,1024,0,-6,-1024,-601,-1024,-1024,1,1,1,1,-1,-1,-1,-1,0x0000000000840010,1539,1488,988,1512,1236,1804,1489,886,1442,1539,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-03-24,14:49:26.620,7.89,0,0,24.06,444.6,0.0,179.63,0.0,19,1148144,108,47.300330 8.742433,2026-03-24 13:44:50,12.3,100,7.6,-0.05,6.00,86,95,100,6.10,0.34,2.0,0,0,24.1,0.0,33,-1,-1,1024,0,-6,-1024,-601,-1024,-1024,1,1,1,1,-1,-1,-1,-1,0x0000000000840010,1539,1488,988,1512,1236,1804,1489,886,1442,1539,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-03-24,14:49:27.120,7.89,0,0,24.06,444.6,0.1,179.63,0.0,19,1149688,108,47.300330 8.742433,2026-03-24 13:44:53,12.3,100,7.7,0.07,6.00,87,94,100,6.10,-0.35,1.5,0,0,24.1,0.0,33,-1,-1,1024,0,-6,-1024,-601,-1024,-1024,1,1,1,1,-1,-1,-1,-1,0x0000000000840010,1539,1488,988,1512,1236,1804,1489,886,1442,1539,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-03-24,14:49:27.620,7.89,0,0,24.06,444.6,0.1,179.63,0.0,19,1147263,108,47.300330 8.742433,2026-03-24 13:44:53,12.5,100,7.7,0.15,6.00,86,95,100,6.10,0.00,1.2,0,0,24.1,0.0,33,0,-1,1024,0,-6,-1024,-601,-1024,-1024,1,1,1,1,-1,-1,-1,-1,0x0000000000840010,1539,1488,988,1512,1236,1804,1489,886,1442,1539,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-03-24,14:49:28.120,7.89,0,0,24.05,444.6,0.0,179.63,0.0,19,1147263,108,47.300330 8.742433,2026-03-24 13:44:53,12.5,100,7.6,-0.07,6.00,86,92,100,6.10,0.35,1.2,0,0,24.1,0.0,33,-1,-1,1024,1,-6,-1024,-601,-1024,-1024,1,1,1,1,-1,-1,-1,-1,0x0000000000840010,1539,1488,988,1512,1236,1804,1489,886,1442,1539,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-03-24,14:49:28.620,7.89,0,0,24.05,444.6,0.1,179.63,0.0,19,1147374,108,47.300330 8.742433,2026-03-24 13:44:53,12.3,100,7.6,-0.05,6.00,86,95,100,6.10,-0.35,1.4,0,0,24.1,0.0,33,0,-1,1024,1,-6,-1024,-601,-1024,-1024,1,1,1,1,-1,-1,-1,-1,0x0000000000840010,1539,1488,988,1512,1236,1804,1489,886,1442,1539,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-03-24,14:49:29.120,7.89,0,0,24.05,444.6,0.0,179.63,0.0,19,1146933,108,47.300330 8.742433,2026-03-24 13:44:53,12.5,100,7.6,-0.03,6.00,86,92,99,6.10,0.35,1.3,0,0,24.1,0.0,33,-1,-1,1024,0,-6,-1024,-601,-1024,-1024,1,1,1,1,-1,-1,-1,-1,0x0000000000840010,1539,1488,988,1512,1236,1804,1489,886,1442,1539,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-03-24,14:49:29.620,7.89,0,0,24.05,444.6,0.0,179.63,0.0,19,1146933,108,47.300330 8.742433,2026-03-24 13:44:55,12.3,99,7.6,-0.01,6.00,85,93,99,6.10,-0.69,1.6,0,0,24.1,0.0,33,-1,-1,1024,0,-6,-1024,-601,-1024,-1024,1,1,1,1,-1,-1,-1,-1,0x0000000000840010,1539,1488,988,1512,1236,1804,1489,886,1442,1539,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-03-24,14:49:30.120,7.89,0,0,24.05,444.6,0.0,179.63,0.0,19,1149029,108,47.300330 8.742433,2026-03-24 13:44:55,12.3,99,7.6,0.01,6.00,86,95,100,6.10,1.04,1.6,0,0,24.1,0.0,33,0,-1,1024,1,-6,-1024,-601,-1024,-1024,1,1,1,1,-1,-1,-1,-1,0x0000000000840010,1539,1488,988,1512,1236,1804,1489,886,1442,1539,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-03-24,14:49:30.620,7.89,0,0,24.05,444.6,0.0,179.63,0.0,19,1149029,108,47.300330 8.742433,2026-03-24 13:44:55,12.3,100,7.7,0.06,6.00,86,94,100,6.10,-1.04,2.5,0,0,24.1,0.0,33,0,-1,1024,0,-6,-1024,-601,-1024,-1024,1,1,1,1,-1,-1,-1,-1,0x0000000000840010,1539,1488,988,1512,1236,1804,1489,886,1442,1539,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-03-24,14:49:31.120,7.89,0,0,24.05,444.6,0.0,179.63,0.0,19,1150681,108,47.300330 8.742433,2026-03-24 13:44:55,12.3,100,7.6,0.00,6.00,86,95,100,6.10,-1.04,3.1,0,0,24.1,0.0,33,0,-1,1024,0,-6,-1024,-601,-1024,-1024,1,1,1,1,-1,-1,-1,-1,0x0000000000840010,1539,1488,988,1512,1236,1804,1489,886,1442,1539,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-03-24,14:49:31.620,7.89,0,0,24.05,444.7,0.0,179.63,0.0,19,1152888,108,47.300330 8.742433,2026-03-24 13:44:57,12.3,100,7.6,-0.03,6.00,87,92,100,6.10,-0.35,2.6,0,0,24.1,0.0,33,0,-1,1024,0,-6,-1024,-601,-1024,-1024,1,1,1,1,-1,-1,-1,-1,0x0000000000840010,1539,1488,988,1512,1236,1804,1489,886,1442,1539,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-03-24,14:49:32.120,7.89,0,0,24.05,444.6,0.0,179.63,0.0,19,1151011,108,47.300330 8.742433,2026-03-24 13:44:57,12.3,100,7.6,0.02,6.00,87,95,99,6.10,-0.35,1.5,0,0,24.1,0.0,33,0,-1,1024,0,-6,-1024,-601,-1024,-1024,1,1,1,1,-1,-1,-1,-1,0x0000000000840010,1539,1488,988,1512,1236,1804,1489,886,1442,1539,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-03-24,14:49:32.620,7.89,0,0,24.05,444.7,0.1,179.63,0.0,19,1150903,108,47.300330 8.742433,2026-03-24 13:44:57,12.5,100,7.6,-0.03,6.00,86,92,99,6.10,-0.35,1.2,0,0,24.1,0.0,33,69,-1,1024,0,-6,-1024,-601,-1024,-1024,1,1,1,1,-1,-1,-1,-1,0x0000000000840010,1539,1488,988,1512,1236,1804,1455,886,1442,1539,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-03-24,14:49:33.120,7.89,0,0,24.05,444.7,0.2,179.63,0.0,19,1153329,108,47.300330 8.742433,2026-03-24 13:44:57,12.6,100,7.7,0.01,6.00,78,83,100,6.10,0.69,1.0,0,0,24.1,0.0,33,6,-162,1024,824,-6,-1024,-601,-1024,-1024,1,1,1,1,-1,-1,-1,-1,0x0000000000840010,1647,1507,988,1747,1297,1890,1486,886,1387,1452,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
