Row_Number,Column,Original_Value,Replacement_Value
2791.0,Cels(V),0.0,23.46
4389.0,Cels(V),0.0,23.25
5394.0,GAlt(m),438.4,438.3
453.0,GSpd(kmh),1950.1,42.400000000000006
788.0,GSpd(kmh),1950.1,43.3
3632.0,GSpd(kmh),1950.1,58.05
5289.0,GSpd(kmh),0.1,0.0
5299.0,GSpd(kmh),0.1,0.0
5310.0,GSpd(kmh),0.1,0.0
5427.0,GSpd(kmh),0.1,0.0
153.0,Hdg(°),18968784.3,304.985
2646.0,Hdg(°),2862656.94,274.63
4405.0,Hdg(°),10553.26,65.935
4830.0,Hdg(°),2694907.82,302.95
5370.0,Gvs(m/s),-0.1,0.0
5386.0,Gvs(m/s),0.1,0.0
5396.0,Gvs(m/s),0.1,0.0
5404.0,Gvs(m/s),-0.2,0.0
5440.0,Gvs(m/s),-0.1,0.0
191.0,Sats,18.0,17.0
1667.0,Sats,14.0,17.0
1770.0,Sats,14.0,16.0
1878.0,Sats,16.0,15.0
2874.0,Sats,18.0,19.0
3184.0,Sats,13.0,16.0
3623.0,Sats,16.0,17.0
5278.0,Sats,17.0,18.0
5374.0,Sats,17.0,18.0
5459.0,Sats,17.0,18.0
452.0,5105,1053022.0,118.0
602.0,5105,1053022.0,117.0
1114.0,5105,142.0,106.5
1550.0,5105,127.0,109.5
1826.0,5105,115.0,110.0
2630.0,5105,115.0,106.0
2636.0,5105,111.0,106.0
2959.0,5105,1053022.0,117.5
2968.0,5105,1053022.0,125.0
2997.0,5105,1053022.0,112.5
3008.0,5105,128.0,110.0
3079.0,5105,135.0,118.0
3184.0,5105,120.0,112.0
3230.0,5105,1053022.0,123.0
3331.0,5105,135.0,116.0
3486.0,5105,129.0,112.0
3543.0,5105,122.0,110.0
3623.0,5105,123.0,110.0
3988.0,5105,140.0,115.0
4260.0,5105,269490782.0,116.5
4926.0,5105,1053022.0,117.5
707.0,Alt(m),2694884.7,153.0
2882.0,Alt(m),2694907.8,203.45
5392.0,Alt(m),13.7,14.0
190.0,VFR(%),99.0,100.0
800.0,VFR(%),99.0,100.0
845.0,VFR(%),98.0,100.0
915.0,VFR(%),77.0,100.0
1196.0,VFR(%),84.0,100.0
1205.0,VFR(%),91.0,100.0
1270.0,VFR(%),99.0,100.0
1288.0,VFR(%),87.0,100.0
1614.0,VFR(%),94.0,100.0
2404.0,VFR(%),99.0,100.0
2411.0,VFR(%),99.0,100.0
2618.0,VFR(%),98.0,100.0
2807.0,VFR(%),98.0,100.0
3176.0,VFR(%),61.0,100.0
3698.0,VFR(%),89.0,99.0
3768.0,VFR(%),85.0,100.0
4103.0,VFR(%),98.0,100.0
4553.0,VFR(%),99.0,100.0
4598.0,VFR(%),97.0,100.0
4751.0,VFR(%),98.0,100.0
4879.0,VFR(%),93.0,99.5
4922.0,VFR(%),97.0,100.0
5300.0,VFR(%),99.0,100.0
13.0,AltR(m),7.7,7.6
4308.0,AltR(m),-607.1,201.05
5322.0,AltR(m),11.3,11.4
5431.0,AltR(m),11.6,11.7
59.0,VSpR(m/s),3363341.89,4.895
368.0,VSpR(m/s),511214.5,0.6799999999999999
805.0,VSpR(m/s),340809.88,0.05500000000000001
1453.0,VSpR(m/s),2694907.82,1.505
1517.0,VSpR(m/s),637042.94,0.29
1740.0,VSpR(m/s),2021180.52,-0.8799999999999999
2233.0,VSpR(m/s),7896.7,-1.585
2934.0,VSpR(m/s),7897.36,-0.915
3474.0,VSpR(m/s),1350074.56,-0.65
3678.0,VSpR(m/s),1344808.92,-0.025
3996.0,VSpR(m/s),-537362.11,-0.115
4006.0,VSpR(m/s),2686986.03,-0.865
4256.0,VSpR(m/s),1350075.15,1.5750000000000002
4313.0,VSpR(m/s),5264.55,-0.9750000000000001
4516.0,VSpR(m/s),2686988.02,0.515
2610.0,TQly,75.0,95.0
3670.0,TQly,80.0,100.0
3816.0,TQly,86.0,100.0
3854.0,TQly,85.0,100.0
4027.0,TQly,86.0,96.0
4797.0,TQly,99.0,100.0
4862.0,TQly,70.0,97.5
3679.0,VSpd(m/s),10530.22,-0.72
4247.0,VSpd(m/s),6.26,0.35
93.0,Rud,-252.0,0.0
137.0,Rud,262.0,-0.5
147.0,Rud,-98.0,-1.0
165.0,Rud,265.0,0.0
199.0,Rud,-375.0,-1.0
239.0,Rud,-288.0,-1.0
559.0,Rud,-80.0,-1.0
650.0,Rud,-435.0,-2.0
708.0,Rud,-159.0,0.0
770.0,Rud,194.0,0.0
988.0,Rud,-3.0,0.0
1529.0,Rud,334.0,0.0
1578.0,Rud,259.0,0.0
1762.0,Rud,-255.0,0.0
1806.0,Rud,1.0,0.0
1877.0,Rud,-150.0,0.0
1907.0,Rud,55.0,0.0
2075.0,Rud,-292.0,0.0
2081.0,Rud,304.0,0.0
2151.0,Rud,-46.0,-1.5
2258.0,Rud,273.0,0.0
2304.0,Rud,-223.0,-0.5
2384.0,Rud,-52.0,-1.0
2390.0,Rud,-31.0,0.0
2398.0,Rud,373.0,0.0
2426.0,Rud,-15.0,0.0
2471.0,Rud,-42.0,-0.5
2528.0,Rud,-370.0,-0.5
2566.0,Rud,-201.0,-0.5
2771.0,Rud,538.0,0.0
3015.0,Rud,162.0,0.0
3029.0,Rud,597.0,0.0
3341.0,Rud,-485.0,-2.0
3633.0,Rud,55.0,0.0
3821.0,Rud,137.0,0.0
4005.0,Rud,-443.0,-0.5
4031.0,Rud,135.0,0.0
4039.0,Rud,3.0,0.0
4048.0,Rud,47.0,0.5
4054.0,Rud,418.0,0.5
4556.0,Rud,-122.0,-1.0
4602.0,Rud,-545.0,-0.5
4655.0,Rud,-157.0,-0.5
4718.0,Rud,327.0,0.0
4725.0,Rud,91.0,0.0
4741.0,Rud,-384.0,-1.0
4762.0,Rud,233.0,-1.0
4821.0,Rud,198.0,0.0
4947.0,Rud,348.0,1.0
4962.0,Rud,67.0,0.0
5014.0,Rud,448.0,0.0
5044.0,Rud,183.0,1.0
5165.0,Rud,-149.0,-2.0
18.0,Ele,-162.0,-1.0
36.0,Ele,-87.0,-1.5
49.0,Ele,-35.0,-3.5
199.0,Ele,-379.0,-1.0
240.0,Ele,-484.0,-1.0
1564.0,Ele,-131.0,-1.5
1762.0,Ele,-229.0,-1.5
1791.0,Ele,-65.0,-1.0
1807.0,Ele,0.0,-1.0
1850.0,Ele,-91.0,-1.0
1866.0,Ele,-4.0,-1.0
1871.0,Ele,-26.0,-1.0
1877.0,Ele,-310.0,-1.0
1885.0,Ele,-77.0,-1.0
1959.0,Ele,-294.0,-1.5
2157.0,Ele,-330.0,-2.0
2174.0,Ele,-358.0,-1.0
2232.0,Ele,-401.0,-1.0
2264.0,Ele,-364.0,-1.0
2299.0,Ele,-2.0,-1.0
2304.0,Ele,-353.0,-1.0
2363.0,Ele,-162.0,-1.0
2442.0,Ele,-353.0,-1.0
2488.0,Ele,-13.0,-1.0
2538.0,Ele,-351.0,-1.5
2545.0,Ele,-331.0,-1.5
2553.0,Ele,-193.0,-1.5
2561.0,Ele,-68.0,-1.0
2566.0,Ele,-172.0,-1.0
2597.0,Ele,-232.0,-3.0
2771.0,Ele,-87.0,-1.0
2781.0,Ele,-158.0,-1.0
3106.0,Ele,-319.0,-1.0
3260.0,Ele,-348.0,-1.0
3268.0,Ele,-371.0,-1.0
3276.0,Ele,-189.0,-1.5
3660.0,Ele,-578.0,-1.0
3871.0,Ele,-461.0,-1.0
3894.0,Ele,-212.0,-1.0
3996.0,Ele,-234.0,-1.0
4003.0,Ele,-303.0,-1.0
4019.0,Ele,281.0,-1.0
4039.0,Ele,-83.0,-1.0
4719.0,Ele,222.0,-1.0
4725.0,Ele,-534.0,-1.0
4762.0,Ele,-3.0,-1.0
4770.0,Ele,-2.0,-1.0
4780.0,Ele,-142.0,-1.0
4825.0,Ele,-370.0,-2.0
4960.0,Ele,-640.0,-1.0
4967.0,Ele,-367.0,-1.5
4994.0,Ele,-134.0,-1.0
5011.0,Ele,-157.0,-1.0
5190.0,Ele,-178.0,-1.0
5196.0,Ele,-501.0,-1.0
5214.0,Ele,-475.0,-2.5
5290.0,Ele,0.0,-1.0
5334.0,Ele,0.0,-1.0
